1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
7,5,6,5,5,7,7,6,6,4,2,3,7,4,4,6
7,6,7,6,6,6,6,6,6,6,5,4,6,7,4,6
7,7,7,6,6,7,7,7,7,7,2,5,7,7,4,7
7,7,7,2,3,7,7,5,5,4,1,2,6,5,1,5
7,6,7,5,5,7,7,6,6,5,4,4,7,7,4,5
5,3,3,5,6,7,4,7,5,6,5,3,6,7,3,6
7,7,7,7,7,7,7,7,7,7,3,7,7,7,2,7
6,6,5,1,2,6,4,4,7,2,3,3,6,7,1,7
5,4,4,2,2,6,5,6,5,3,2,3,3,4,2,4
7,7,7,6,6,7,7,7,7,6,3,7,7,7,5,7
6,5,3,6,5,7,6,7,5,6,5,2,7,3,4,6
7,7,7,1,2,7,7,6,7,2,5,6,7,7,3,7
7,7,7,6,4,7,7,7,7,6,4,3,7,7,5,7
5,5,5,2,4,7,5,5,7,2,1,2,7,7,1,7
7,6,7,7,7,7,7,6,7,7,3,2,7,5,4,7
7,7,7,7,6,7,7,7,7,6,3,7,7,7,4,7
6,6,5,4,4,7,6,6,6,5,4,5,7,7,4,5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,6,7,5,5,7,7,6,5,5,2,4,7,4,4,7
3,3,5,5,4,7,3,6,4,2,1,2,6,4,3,5
7,6,6,4,4,7,7,7,7,5,1,4,7,7,2,7
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7,6,7,7,7,6,7
6,6,6,6,6,6,6,6,6,6,5,6,6,6,5,6
7,7,7,2,3,7,7,7,5,3,1,2,7,5,1,7
7,7,7,7,7,7,7,7,7,7,7,5,7,7,4,7
7,7,7,6,7,7,7,7,7,7,3,4,7,4,4,7
7,7,7,7,7,7,7,7,7,7,3,7,7,7,3,7
7,5,5,3,4,7,7,5,5,5,1,2,6,6,2,6
6,4,4,4,4,6,4,3,3,3,2,3,5,4,2,4
7,7,7,7,7,7,7,7,7,7,4,7,7,7,4,7
6,5,7,3,3,7,5,4,6,4,1,2,7,7,2,6
7,6,5,6,7,6,7,7,5,7,4,5,7,7,4,6
7,7,7,6,7,7,6,7,5,6,4,4,4,7,3,7
7,7,7,3,3,7,7,5,7,5,1,3,7,7,2,7
