,type,typicality_score,dir,top5_labels,7_score
0,Mountain,85.1,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Mountain/2.jpg,"{'volcano': 0.8511720895767212, 'promontory': 0.015219614841043949, 'alp': 0.01306793000549078, 'valley': 0.010055499151349068, 'lakeside': 0.008754863403737545}",6.0
1,Mountain,67.4,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Mountain/5.jpg,"{'alp': 0.673840343952179, 'valley': 0.13764096796512604, 'mountain tent': 0.030527956783771515, 'lakeside': 0.02920256182551384, 'promontory': 0.01341310515999794}",4.7
2,Mountain,31.3,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Mountain/9.jpg,"{'alp': 0.31291672587394714, 'valley': 0.16099141538143158, 'promontory': 0.10539036989212036, 'lakeside': 0.07069534063339233, 'volcano': 0.051814161241054535}",2.2
3,Mountain,17.2,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Mountain/8.jpg,"{'valley': 0.17231088876724243, 'alp': 0.13140280544757843, 'volcano': 0.09369000792503357, 'worm fence': 0.03773947060108185, 'lakeside': 0.0301319882273674}",1.2
4,Mountain,64.2,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Mountain/1.jpg,"{'lakeside': 0.6420929431915283, 'boathouse': 0.15624479949474335, 'dam': 0.04554464668035507, 'breakwater': 0.018457837402820587, 'suspension bridge': 0.015191664919257164}",4.5
5,Mountain,45.2,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Mountain/6.jpg,"{'valley': 0.4515954256057739, 'volcano': 0.15323004126548767, 'promontory': 0.07678467780351639, 'alp': 0.058741096407175064, 'cliff': 0.0568024180829525}",3.2
6,Mountain,49.9,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Mountain/11.jpg,"{'volcano': 0.49906814098358154, 'alp': 0.43058934807777405, 'valley': 0.012946711853146553, 'mountain tent': 0.008107626810669899, 'promontory': 0.0024161969777196646}",3.5
7,Mountain,15.9,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Mountain/10.jpg,"{'valley': 0.15947562456130981, 'alp': 0.14392603933811188, 'volcano': 0.05802033841609955, 'lakeside': 0.04594297334551811, 'viaduct': 0.037056390196084976}",1.1
8,Mountain,21.6,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Mountain/16.jpg,"{'rapeseed': 0.21592307090759277, 'valley': 0.04161519929766655, 'volcano': 0.039706114679574966, 'lakeside': 0.022274192422628403, 'worm fence': 0.01985507644712925}",1.5
9,Mountain,37.4,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Mountain/4.jpg,"{'volcano': 0.3741263151168823, 'seashore': 0.09051141887903214, 'promontory': 0.0878596305847168, 'valley': 0.054881881922483444, 'alp': 0.04124957323074341}",2.6
10,Mountain,76.7,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Mountain/12.jpg,"{'alp': 0.7674317359924316, 'valley': 0.1444251537322998, 'mountain tent': 0.020741187036037445, 'volcano': 0.01177407056093216, 'lakeside': 0.005038169212639332}",5.4
11,Mountain,20.3,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Mountain/3.jpg,"{'lakeside': 0.20258359611034393, 'valley': 0.17598192393779755, 'geyser': 0.13673023879528046, 'alp': 0.0701809823513031, 'snowmobile': 0.01700451783835888}",1.4
12,Mountain,52.8,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Mountain/15.jpg,"{'alp': 0.5282925367355347, 'valley': 0.17587387561798096, 'volcano': 0.11866002529859543, 'cliff': 0.03673766180872917, 'promontory': 0.012951823882758617}",3.7
13,Mountain,55.2,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Mountain/13.jpg,"{'cliff': 0.5515220761299133, 'valley': 0.140162855386734, 'alp': 0.08936498314142227, 'promontory': 0.08711712062358856, 'castle': 0.03524789214134216}",3.9
14,Mountain,29.3,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Mountain/7.jpg,"{'volcano': 0.29329031705856323, 'Arabian camel': 0.09825105220079422, 'cliff': 0.08880565315485, 'seashore': 0.06394390761852264, 'lakeside': 0.03390686213970184}",2.1
