,type,dir,prob,id_label,readable_label
0,Mountain,../Image/All_Cropped\Mountain\1.jpg,0.021665973588824272,09193705-n,alp
1,Mountain,../Image/All_Cropped\Mountain\10.jpg,0.07309934496879578,09193705-n,alp
2,Mountain,../Image/All_Cropped\Mountain\11.jpg,0.6057558655738831,09193705-n,alp
3,Mountain,../Image/All_Cropped\Mountain\12.jpg,0.7249870896339417,09193705-n,alp
4,Mountain,../Image/All_Cropped\Mountain\13.jpg,0.07889186590909958,09193705-n,alp
5,Mountain,../Image/All_Cropped\Mountain\14.jpg,0.4198780655860901,09193705-n,alp
6,Mountain,../Image/All_Cropped\Mountain\15.jpg,0.31346702575683594,09193705-n,alp
7,Mountain,../Image/All_Cropped\Mountain\16.jpg,0.009717035107314587,09193705-n,alp
8,Mountain,../Image/All_Cropped\Mountain\2.jpg,0.05009495094418526,09193705-n,alp
9,Mountain,../Image/All_Cropped\Mountain\3.jpg,0.08478231728076935,09193705-n,alp
10,Mountain,../Image/All_Cropped\Mountain\4.jpg,0.06412698328495026,09193705-n,alp
11,Mountain,../Image/All_Cropped\Mountain\5.jpg,0.6847831010818481,09193705-n,alp
12,Mountain,../Image/All_Cropped\Mountain\6.jpg,0.0581309013068676,09193705-n,alp
13,Mountain,../Image/All_Cropped\Mountain\7.jpg,0.035415325313806534,09193705-n,alp
14,Mountain,../Image/All_Cropped\Mountain\8.jpg,0.13514095544815063,09193705-n,alp
15,Mountain,../Image/All_Cropped\Mountain\9.jpg,0.28058257699012756,09193705-n,alp
16,Beach,../Image/All_Cropped\Beach\1.jpg,0.2699967622756958,09428293-n,"seashore, coast, seacoast, sea-coast"
17,Beach,../Image/All_Cropped\Beach\10.jpg,0.6539821624755859,09428293-n,"seashore, coast, seacoast, sea-coast"
18,Beach,../Image/All_Cropped\Beach\11.jpg,0.12007837742567062,09428293-n,"seashore, coast, seacoast, sea-coast"
19,Beach,../Image/All_Cropped\Beach\12.jpg,0.37950998544692993,09428293-n,"seashore, coast, seacoast, sea-coast"
20,Beach,../Image/All_Cropped\Beach\13.jpg,0.20068183541297913,09428293-n,"seashore, coast, seacoast, sea-coast"
21,Beach,../Image/All_Cropped\Beach\14.jpg,0.6822628974914551,09428293-n,"seashore, coast, seacoast, sea-coast"
22,Beach,../Image/All_Cropped\Beach\15.jpg,0.23543594777584076,09428293-n,"seashore, coast, seacoast, sea-coast"
23,Beach,../Image/All_Cropped\Beach\16.jpg,0.15751788020133972,09428293-n,"seashore, coast, seacoast, sea-coast"
24,Beach,../Image/All_Cropped\Beach\2.jpg,0.28859788179397583,09428293-n,"seashore, coast, seacoast, sea-coast"
25,Beach,../Image/All_Cropped\Beach\3.jpg,0.6728507280349731,09428293-n,"seashore, coast, seacoast, sea-coast"
26,Beach,../Image/All_Cropped\Beach\4.jpg,0.7085252404212952,09428293-n,"seashore, coast, seacoast, sea-coast"
27,Beach,../Image/All_Cropped\Beach\5.jpg,0.7275727391242981,09428293-n,"seashore, coast, seacoast, sea-coast"
28,Beach,../Image/All_Cropped\Beach\6.jpg,0.7362380027770996,09428293-n,"seashore, coast, seacoast, sea-coast"
29,Beach,../Image/All_Cropped\Beach\7.jpg,0.3264184892177582,09428293-n,"seashore, coast, seacoast, sea-coast"
30,Beach,../Image/All_Cropped\Beach\8.jpg,0.4353746473789215,09428293-n,"seashore, coast, seacoast, sea-coast"
31,Beach,../Image/All_Cropped\Beach\9.jpg,0.4174162447452545,09428293-n,"seashore, coast, seacoast, sea-coast"
32,Mug,../Image/All_Cropped\Mug\1.jpg,0.15747679769992828,03063599-n,coffee mug
33,Mug,../Image/All_Cropped\Mug\10.jpg,0.23316986858844757,03063599-n,coffee mug
