,type,dir,id_labels,readable_labels,similarity_score,closest_id_label,closest_similarity_score,closest_readable_label,closest_prob
0,Mountain,../Image/All_Cropped\Mountain\1.jpg,"{'09332890-n': 0.28545108437538147, '09472597-n': 0.06625811755657196, '09468604-n': 0.05446513742208481, '09288635-n': 0.04837046563625336, '09428293-n': 0.03869421035051346, '02980441-n': 0.032457657158374786, '03160309-n': 0.03165850788354874, '02859443-n': 0.030960092321038246, '09399592-n': 0.029387595131993294, '09193705-n': 0.021665973588824272}","{'lakeside': 0.28545108437538147, 'volcano': 0.06625811755657196, 'valley': 0.05446513742208481, 'geyser': 0.04837046563625336, 'seashore': 0.03869421035051346, 'castle': 0.032457657158374786, 'dam': 0.03165850788354874, 'boathouse': 0.030960092321038246, 'promontory': 0.029387595131993294, 'alp': 0.021665973588824272}","{'09332890-n': 0.2, '09472597-n': 0.5, '09468604-n': 0.2, '09288635-n': 0.2, '09428293-n': 0.2, '02980441-n': 0.1, '03160309-n': 0.1, '02859443-n': 0.09090909090909091, '09399592-n': 0.3333333333333333, '09193705-n': 0.5}",09472597-n,0.5,volcano,0.06625811755657196
1,Mountain,../Image/All_Cropped\Mountain\10.jpg,"{'09468604-n': 0.1293070912361145, '09193705-n': 0.07309934496879578, '09332890-n': 0.06367197632789612, '09472597-n': 0.04901378974318504, '09399592-n': 0.023967141285538673, '09246464-n': 0.021082235500216484, '04532670-n': 0.015484391711652279, '03792972-n': 0.011097694747149944, '09288635-n': 0.010934913530945778, '09428293-n': 0.009661887772381306}","{'valley': 0.1293070912361145, 'alp': 0.07309934496879578, 'lakeside': 0.06367197632789612, 'volcano': 0.04901378974318504, 'promontory': 0.023967141285538673, 'cliff': 0.021082235500216484, 'viaduct': 0.015484391711652279, 'mountain tent': 0.011097694747149944, 'geyser': 0.010934913530945778, 'seashore': 0.009661887772381306}","{'09468604-n': 0.2, '09193705-n': 0.5, '09332890-n': 0.2, '09472597-n': 0.5, '09399592-n': 0.3333333333333333, '09246464-n': 0.25, '04532670-n': 0.1111111111111111, '03792972-n': 0.1, '09288635-n': 0.2, '09428293-n': 0.2}",09193705-n,0.5,alp,0.07309934496879578
2,Mountain,../Image/All_Cropped\Mountain\11.jpg,"{'09193705-n': 0.6057558655738831, '09472597-n': 0.2006116807460785, '09468604-n': 0.0303721372038126, '03792972-n': 0.013001173734664917, '09246464-n': 0.00942100677639246, '09399592-n': 0.006537030450999737, '09288635-n': 0.005465047899633646, '04252077-n': 0.0034937402233481407, '04228054-n': 0.0032507693395018578, '09332890-n': 0.0031070574186742306}","{'alp': 0.6057558655738831, 'volcano': 0.2006116807460785, 'valley': 0.0303721372038126, 'mountain tent': 0.013001173734664917, 'cliff': 0.00942100677639246, 'promontory': 0.006537030450999737, 'geyser': 0.005465047899633646, 'snowmobile': 0.0034937402233481407, 'ski': 0.0032507693395018578, 'lakeside': 0.0031070574186742306}","{'09193705-n': 0.5, '09472597-n': 0.5, '09468604-n': 0.2, '03792972-n': 0.1, '09246464-n': 0.25, '09399592-n': 0.3333333333333333, '09288635-n': 0.2, '04252077-n': 0.08333333333333333, '04228054-n': 0.1, '09332890-n': 0.2}",09193705-n,0.5,alp,0.6057558655738831
3,Mountain,../Image/All_Cropped\Mountain\12.jpg,"{'09193705-n': 0.7249870896339417, '09468604-n': 0.1409825086593628, '09472597-n': 0.02377542294561863, '09246464-n': 0.013501197099685669, '09399592-n': 0.011994821950793266, '03792972-n': 0.010689832270145416, '09332890-n': 0.008935830555856228, '09428293-n': 0.006320524960756302, '02417914-n': 0.0014425908448174596, '02415577-n': 0.001379707595333457}","{'alp': 0.7249870896339417, 'valley': 0.1409825086593628, 'volcano': 0.02377542294561863, 'cliff': 0.013501197099685669, 'promontory': 0.011994821950793266, 'mountain tent': 0.010689832270145416, 'lakeside': 0.008935830555856228, 'seashore': 0.006320524960756302, 'ibex': 0.0014425908448174596, 'bighorn': 0.001379707595333457}","{'09193705-n': 0.5, '09468604-n': 0.2, '09472597-n': 0.5, '09246464-n': 0.25, '09399592-n': 0.3333333333333333, '03792972-n': 0.1, '09332890-n': 0.2, '09428293-n': 0.2, '02417914-n': 0.05263157894736842, '02415577-n': 0.05263157894736842}",09193705-n,0.5,alp,0.7249870896339417
4,Mountain,../Image/All_Cropped\Mountain\13.jpg,"{'09246464-n': 0.4255097806453705, '09468604-n': 0.1114310473203659, '09193705-n': 0.07889186590909958, '09399592-n': 0.0661480501294136, '02980441-n': 0.05854211375117302, '03781244-n': 0.0299875158816576, '03042490-n': 0.014274263754487038, '09428293-n': 0.012562298215925694, '03160309-n': 0.009483578614890575, '04366367-n': 0.007061661686748266}","{'cliff': 0.4255097806453705, 'valley': 0.1114310473203659, 'alp': 0.07889186590909958, 'promontory': 0.0661480501294136, 'castle': 0.05854211375117302, 'monastery': 0.0299875158816576, 'cliff dwelling': 0.014274263754487038, 'seashore': 0.012562298215925694, 'dam': 0.009483578614890575, 'suspension bridge': 0.007061661686748266}","{'09246464-n': 0.25, '09468604-n': 0.2, '09193705-n': 0.5, '09399592-n': 0.3333333333333333, '02980441-n': 0.1, '03781244-n': 0.08333333333333333, '03042490-n': 0.1, '09428293-n': 0.2, '03160309-n': 0.1, '04366367-n': 0.1111111111111111}",09193705-n,0.5,alp,0.07889186590909958
5,Mountain,../Image/All_Cropped\Mountain\14.jpg,"{'09193705-n': 0.4198780655860901, '09468604-n': 0.19756942987442017, '09246464-n': 0.09027160704135895, '09472597-n': 0.07401209324598312, '09399592-n': 0.047975409775972366, '03792972-n': 0.012918219901621342, '09332890-n': 0.007912984117865562, '02980441-n': 0.006979871541261673, '09428293-n': 0.005535929463803768, '03781244-n': 0.004989319015294313}","{'alp': 0.4198780655860901, 'valley': 0.19756942987442017, 'cliff': 0.09027160704135895, 'volcano': 0.07401209324598312, 'promontory': 0.047975409775972366, 'mountain tent': 0.012918219901621342, 'lakeside': 0.007912984117865562, 'castle': 0.006979871541261673, 'seashore': 0.005535929463803768, 'monastery': 0.004989319015294313}","{'09193705-n': 0.5, '09468604-n': 0.2, '09246464-n': 0.25, '09472597-n': 0.5, '09399592-n': 0.3333333333333333, '03792972-n': 0.1, '09332890-n': 0.2, '02980441-n': 0.1, '09428293-n': 0.2, '03781244-n': 0.08333333333333333}",09193705-n,0.5,alp,0.4198780655860901
6,Mountain,../Image/All_Cropped\Mountain\15.jpg,"{'09193705-n': 0.31346702575683594, '09472597-n': 0.16290612518787384, '09468604-n': 0.12013794481754303, '09246464-n': 0.04005111753940582, '09288635-n': 0.021491050720214844, '03627232-n': 0.012620805762708187, '09332890-n': 0.012335860170423985, '09399592-n': 0.008419673889875412, '09428293-n': 0.005418740212917328, '01665541-n': 0.004776782356202602}","{'alp': 0.31346702575683594, 'volcano': 0.16290612518787384, 'valley': 0.12013794481754303, 'cliff': 0.04005111753940582, 'geyser': 0.021491050720214844, 'knot': 0.012620805762708187, 'lakeside': 0.012335860170423985, 'promontory': 0.008419673889875412, 'seashore': 0.005418740212917328, 'leatherback turtle': 0.004776782356202602}","{'09193705-n': 0.5, '09472597-n': 0.5, '09468604-n': 0.2, '09246464-n': 0.25, '09288635-n': 0.2, '03627232-n': 0.09090909090909091, '09332890-n': 0.2, '09399592-n': 0.3333333333333333, '09428293-n': 0.2, '01665541-n': 0.0625}",09193705-n,0.5,alp,0.31346702575683594
7,Mountain,../Image/All_Cropped\Mountain\16.jpg,"{'11879895-n': 0.10222262144088745, '09332890-n': 0.05283324792981148, '09468604-n': 0.03986929729580879, '04604644-n': 0.0338686928153038, '09421951-n': 0.017216892912983894, '07802026-n': 0.015583896078169346, '02793495-n': 0.015060802921652794, '09428293-n': 0.014781824313104153, '09472597-n': 0.01417334284633398, '02422106-n': 0.013843497261404991}","{'rapeseed': 0.10222262144088745, 'lakeside': 0.05283324792981148, 'valley': 0.03986929729580879, 'worm fence': 0.0338686928153038, 'sandbar': 0.017216892912983894, 'hay': 0.015583896078169346, 'barn': 0.015060802921652794, 'seashore': 0.014781824313104153, 'volcano': 0.01417334284633398, 'hartebeest': 0.013843497261404991}","{'11879895-n': 0.07692307692307693, '09332890-n': 0.2, '09468604-n': 0.2, '04604644-n': 0.08333333333333333, '09421951-n': 0.2, '07802026-n': 0.09090909090909091, '02793495-n': 0.1, '09428293-n': 0.2, '09472597-n': 0.5, '02422106-n': 0.05555555555555555}",09472597-n,0.5,volcano,0.01417334284633398
8,Mountain,../Image/All_Cropped\Mountain\2.jpg,"{'09472597-n': 0.529798150062561, '09288635-n': 0.06911277770996094, '09193705-n': 0.05009495094418526, '09399592-n': 0.030549857765436172, '09468604-n': 0.0277553740888834, '09428293-n': 0.021845901384949684, '09332890-n': 0.017812548205256462, '09421951-n': 0.013525547459721565, '09246464-n': 0.006298466119915247, '03792972-n': 0.006042509339749813}","{'volcano': 0.529798150062561, 'geyser': 0.06911277770996094, 'alp': 0.05009495094418526, 'promontory': 0.030549857765436172, 'valley': 0.0277553740888834, 'seashore': 0.021845901384949684, 'lakeside': 0.017812548205256462, 'sandbar': 0.013525547459721565, 'cliff': 0.006298466119915247, 'mountain tent': 0.006042509339749813}","{'09472597-n': 0.5, '09288635-n': 0.2, '09193705-n': 0.5, '09399592-n': 0.3333333333333333, '09468604-n': 0.2, '09428293-n': 0.2, '09332890-n': 0.2, '09421951-n': 0.2, '09246464-n': 0.25, '03792972-n': 0.1}",09472597-n,0.5,volcano,0.529798150062561
9,Mountain,../Image/All_Cropped\Mountain\3.jpg,"{'09288635-n': 0.12307517230510712, '09468604-n': 0.1088062971830368, '09193705-n': 0.08478231728076935, '09332890-n': 0.07967650145292282, '04252077-n': 0.042856648564338684, '04604644-n': 0.03039153851568699, '03776460-n': 0.017428109422326088, '03160309-n': 0.015453455969691277, '04252225-n': 0.014377710409462452, '03218198-n': 0.014213417656719685}","{'geyser': 0.12307517230510712, 'valley': 0.1088062971830368, 'alp': 0.08478231728076935, 'lakeside': 0.07967650145292282, 'snowmobile': 0.042856648564338684, 'worm fence': 0.03039153851568699, 'mobile home': 0.017428109422326088, 'dam': 0.015453455969691277, 'snowplow': 0.014377710409462452, 'dogsled': 0.014213417656719685}","{'09288635-n': 0.2, '09468604-n': 0.2, '09193705-n': 0.5, '09332890-n': 0.2, '04252077-n': 0.08333333333333333, '04604644-n': 0.08333333333333333, '03776460-n': 0.1111111111111111, '03160309-n': 0.1, '04252225-n': 0.08333333333333333, '03218198-n': 0.09090909090909091}",09193705-n,0.5,alp,0.08478231728076935
