,type,dir,id_labels,readable_labels,similarity_score,closest_id_label,closest_similarity_score,closest_readable_label,closest_prob
0,Mountain,../Image/All_Cropped\Mountain\1.jpg,"{'09332890-n': 0.33909276127815247, '09468604-n': 0.10373581200838089, '03160309-n': 0.06044419854879379, '09472597-n': 0.05389164388179779, '02859443-n': 0.043561410158872604, '04311004-n': 0.03988071531057358, '03344393-n': 0.0337362214922905, '04532670-n': 0.02814514748752117, '09193705-n': 0.020161712542176247, '02692877-n': 0.018777554854750633}","{'lakeside': 0.33909276127815247, 'valley': 0.10373581200838089, 'dam': 0.06044419854879379, 'volcano': 0.05389164388179779, 'boathouse': 0.043561410158872604, 'steel arch bridge': 0.03988071531057358, 'fireboat': 0.0337362214922905, 'viaduct': 0.02814514748752117, 'alp': 0.020161712542176247, 'airship': 0.018777554854750633}","{'09332890-n': 0.2, '09468604-n': 0.2, '03160309-n': 0.1, '09472597-n': 0.5, '02859443-n': 0.09090909090909091, '04311004-n': 0.1111111111111111, '03344393-n': 0.07692307692307693, '04532670-n': 0.1111111111111111, '09193705-n': 0.5, '02692877-n': 0.07692307692307693}",09472597-n,0.5,volcano,0.05389164388179779
1,Mountain,../Image/All_Cropped\Mountain\10.jpg,"{'09468604-n': 0.38023269176483154, '09193705-n': 0.21241448819637299, '09332890-n': 0.11521987617015839, '09399592-n': 0.03946885094046593, '09472597-n': 0.023053107783198357, '03160309-n': 0.01859145797789097, '09428293-n': 0.01698915660381317, '03792972-n': 0.009797374717891216, '04044716-n': 0.008854761719703674, '09246464-n': 0.00810704380273819}","{'valley': 0.38023269176483154, 'alp': 0.21241448819637299, 'lakeside': 0.11521987617015839, 'promontory': 0.03946885094046593, 'volcano': 0.023053107783198357, 'dam': 0.01859145797789097, 'seashore': 0.01698915660381317, 'mountain tent': 0.009797374717891216, 'radio telescope': 0.008854761719703674, 'cliff': 0.00810704380273819}","{'09468604-n': 0.2, '09193705-n': 0.5, '09332890-n': 0.2, '09399592-n': 0.3333333333333333, '09472597-n': 0.5, '03160309-n': 0.1, '09428293-n': 0.2, '03792972-n': 0.1, '04044716-n': 0.07142857142857142, '09246464-n': 0.25}",09193705-n,0.5,alp,0.21241448819637299
2,Mountain,../Image/All_Cropped\Mountain\11.jpg,"{'09193705-n': 0.6954638361930847, '09472597-n': 0.18501830101013184, '09468604-n': 0.052408646792173386, '03792972-n': 0.01283350307494402, '02066245-n': 0.006349649745970964, '04252077-n': 0.005999056156724691, '09246464-n': 0.005950472317636013, '04228054-n': 0.004064649809151888, '09399592-n': 0.0035086499992758036, '04613696-n': 0.0015879583079367876}","{'alp': 0.6954638361930847, 'volcano': 0.18501830101013184, 'valley': 0.052408646792173386, 'mountain tent': 0.01283350307494402, 'grey whale': 0.006349649745970964, 'snowmobile': 0.005999056156724691, 'cliff': 0.005950472317636013, 'ski': 0.004064649809151888, 'promontory': 0.0035086499992758036, 'yurt': 0.0015879583079367876}","{'09193705-n': 0.5, '09472597-n': 0.5, '09468604-n': 0.2, '03792972-n': 0.1, '02066245-n': 0.058823529411764705, '04252077-n': 0.08333333333333333, '09246464-n': 0.25, '04228054-n': 0.1, '09399592-n': 0.3333333333333333, '04613696-n': 0.1}",09193705-n,0.5,alp,0.6954638361930847
3,Mountain,../Image/All_Cropped\Mountain\12.jpg,"{'09193705-n': 0.5897970795631409, '09468604-n': 0.3358953893184662, '09246464-n': 0.014181159436702728, '09399592-n': 0.011644307523965836, '09428293-n': 0.00780043751001358, '09332890-n': 0.0062626623548567295, '03792972-n': 0.005482703447341919, '04258138-n': 0.004236474633216858, '03792782-n': 0.002049518283456564, '03160309-n': 0.001629544422030449}","{'alp': 0.5897970795631409, 'valley': 0.3358953893184662, 'cliff': 0.014181159436702728, 'promontory': 0.011644307523965836, 'seashore': 0.00780043751001358, 'lakeside': 0.0062626623548567295, 'mountain tent': 0.005482703447341919, 'solar dish': 0.004236474633216858, 'mountain bike': 0.002049518283456564, 'dam': 0.001629544422030449}","{'09193705-n': 0.5, '09468604-n': 0.2, '09246464-n': 0.25, '09399592-n': 0.3333333333333333, '09428293-n': 0.2, '09332890-n': 0.2, '03792972-n': 0.1, '04258138-n': 0.1, '03792782-n': 0.09090909090909091, '03160309-n': 0.1}",09193705-n,0.5,alp,0.5897970795631409
4,Mountain,../Image/All_Cropped\Mountain\13.jpg,"{'09246464-n': 0.49911436438560486, '09399592-n': 0.11322486400604248, '09468604-n': 0.10757622867822647, '09193705-n': 0.08803190290927887, '02980441-n': 0.07880734652280807, '03781244-n': 0.02821294032037258, '09428293-n': 0.019964974373579025, '09332890-n': 0.01589980348944664, '03160309-n': 0.010373844765126705, '04346328-n': 0.004767221864312887}","{'cliff': 0.49911436438560486, 'promontory': 0.11322486400604248, 'valley': 0.10757622867822647, 'alp': 0.08803190290927887, 'castle': 0.07880734652280807, 'monastery': 0.02821294032037258, 'seashore': 0.019964974373579025, 'lakeside': 0.01589980348944664, 'dam': 0.010373844765126705, 'stupa': 0.004767221864312887}","{'09246464-n': 0.25, '09399592-n': 0.3333333333333333, '09468604-n': 0.2, '09193705-n': 0.5, '02980441-n': 0.1, '03781244-n': 0.08333333333333333, '09428293-n': 0.2, '09332890-n': 0.2, '03160309-n': 0.1, '04346328-n': 0.09090909090909091}",09193705-n,0.5,alp,0.08803190290927887
5,Mountain,../Image/All_Cropped\Mountain\14.jpg,"{'09193705-n': 0.4989626407623291, '09468604-n': 0.2561875879764557, '09399592-n': 0.0667557492852211, '09246464-n': 0.053891200572252274, '09472597-n': 0.031230077147483826, '03792972-n': 0.02248472161591053, '09428293-n': 0.010160719975829124, '03160309-n': 0.008026190102100372, '02417914-n': 0.004328828305006027, '02980441-n': 0.0031278792303055525}","{'alp': 0.4989626407623291, 'valley': 0.2561875879764557, 'promontory': 0.0667557492852211, 'cliff': 0.053891200572252274, 'volcano': 0.031230077147483826, 'mountain tent': 0.02248472161591053, 'seashore': 0.010160719975829124, 'dam': 0.008026190102100372, 'ibex': 0.004328828305006027, 'castle': 0.0031278792303055525}","{'09193705-n': 0.5, '09468604-n': 0.2, '09399592-n': 0.3333333333333333, '09246464-n': 0.25, '09472597-n': 0.5, '03792972-n': 0.1, '09428293-n': 0.2, '03160309-n': 0.1, '02417914-n': 0.05263157894736842, '02980441-n': 0.1}",09193705-n,0.5,alp,0.4989626407623291
6,Mountain,../Image/All_Cropped\Mountain\15.jpg,"{'09193705-n': 0.3847689628601074, '09472597-n': 0.27716249227523804, '09468604-n': 0.12542054057121277, '09246464-n': 0.044378653168678284, '09288635-n': 0.026635218411684036, '09399592-n': 0.024023085832595825, '03792972-n': 0.013156818225979805, '09428293-n': 0.013148966245353222, '03160309-n': 0.01197874080389738, '02814860-n': 0.005426409188657999}","{'alp': 0.3847689628601074, 'volcano': 0.27716249227523804, 'valley': 0.12542054057121277, 'cliff': 0.044378653168678284, 'geyser': 0.026635218411684036, 'promontory': 0.024023085832595825, 'mountain tent': 0.013156818225979805, 'seashore': 0.013148966245353222, 'dam': 0.01197874080389738, 'beacon': 0.005426409188657999}","{'09193705-n': 0.5, '09472597-n': 0.5, '09468604-n': 0.2, '09246464-n': 0.25, '09288635-n': 0.2, '09399592-n': 0.3333333333333333, '03792972-n': 0.1, '09428293-n': 0.2, '03160309-n': 0.1, '02814860-n': 0.1111111111111111}",09193705-n,0.5,alp,0.3847689628601074
7,Mountain,../Image/All_Cropped\Mountain\16.jpg,"{'09332890-n': 0.18350620567798615, '09468604-n': 0.17457278072834015, '09193705-n': 0.08504347503185272, '09428293-n': 0.05203704908490181, '09421951-n': 0.04461323469877243, '09288635-n': 0.032125357538461685, '09472597-n': 0.028733478859066963, '09399592-n': 0.02837798371911049, '02410509-n': 0.024961352348327637, '04044716-n': 0.023783637210726738}","{'lakeside': 0.18350620567798615, 'valley': 0.17457278072834015, 'alp': 0.08504347503185272, 'seashore': 0.05203704908490181, 'sandbar': 0.04461323469877243, 'geyser': 0.032125357538461685, 'volcano': 0.028733478859066963, 'promontory': 0.02837798371911049, 'bison': 0.024961352348327637, 'radio telescope': 0.023783637210726738}","{'09332890-n': 0.2, '09468604-n': 0.2, '09193705-n': 0.5, '09428293-n': 0.2, '09421951-n': 0.2, '09288635-n': 0.2, '09472597-n': 0.5, '09399592-n': 0.3333333333333333, '02410509-n': 0.058823529411764705, '04044716-n': 0.07142857142857142}",09193705-n,0.5,alp,0.08504347503185272
8,Mountain,../Image/All_Cropped\Mountain\2.jpg,"{'09472597-n': 0.6563867330551147, '09399592-n': 0.15247373282909393, '09428293-n': 0.06653351336717606, '09421951-n': 0.039039209485054016, '09468604-n': 0.017015798017382622, '09193705-n': 0.011823266744613647, '09332890-n': 0.011339381337165833, '09246464-n': 0.01015524473041296, '09288635-n': 0.004853654652833939, '02814860-n': 0.002267664298415184}","{'volcano': 0.6563867330551147, 'promontory': 0.15247373282909393, 'seashore': 0.06653351336717606, 'sandbar': 0.039039209485054016, 'valley': 0.017015798017382622, 'alp': 0.011823266744613647, 'lakeside': 0.011339381337165833, 'cliff': 0.01015524473041296, 'geyser': 0.004853654652833939, 'beacon': 0.002267664298415184}","{'09472597-n': 0.5, '09399592-n': 0.3333333333333333, '09428293-n': 0.2, '09421951-n': 0.2, '09468604-n': 0.2, '09193705-n': 0.5, '09332890-n': 0.2, '09246464-n': 0.25, '09288635-n': 0.2, '02814860-n': 0.1111111111111111}",09472597-n,0.5,volcano,0.6563867330551147
9,Mountain,../Image/All_Cropped\Mountain\3.jpg,"{'09288635-n': 0.22686250507831573, '09193705-n': 0.19879299402236938, '09468604-n': 0.09770018607378006, '09332890-n': 0.08214409649372101, '03218198-n': 0.03615878149867058, '04252077-n': 0.033622514456510544, '04604644-n': 0.02459363266825676, '03792972-n': 0.0173642598092556, '02951358-n': 0.017240775749087334, '02410509-n': 0.016427181661128998}","{'geyser': 0.22686250507831573, 'alp': 0.19879299402236938, 'valley': 0.09770018607378006, 'lakeside': 0.08214409649372101, 'dogsled': 0.03615878149867058, 'snowmobile': 0.033622514456510544, 'worm fence': 0.02459363266825676, 'mountain tent': 0.0173642598092556, 'canoe': 0.017240775749087334, 'bison': 0.016427181661128998}","{'09288635-n': 0.2, '09193705-n': 0.5, '09468604-n': 0.2, '09332890-n': 0.2, '03218198-n': 0.09090909090909091, '04252077-n': 0.08333333333333333, '04604644-n': 0.08333333333333333, '03792972-n': 0.1, '02951358-n': 0.07142857142857142, '02410509-n': 0.058823529411764705}",09193705-n,0.5,alp,0.19879299402236938
