,type,dir,prob,id_label,readable_label
0,Mountain,../Image/All_Cropped\Mountain\1.jpg,0.32274436950683594,09193705-n,alp
1,Mountain,../Image/All_Cropped\Mountain\10.jpg,0.3042445480823517,09193705-n,alp
2,Mountain,../Image/All_Cropped\Mountain\11.jpg,0.16745488345623016,09193705-n,alp
3,Mountain,../Image/All_Cropped\Mountain\12.jpg,0.7281309962272644,09193705-n,alp
4,Mountain,../Image/All_Cropped\Mountain\13.jpg,0.0044534956105053425,09193705-n,alp
5,Mountain,../Image/All_Cropped\Mountain\14.jpg,0.48415249586105347,09193705-n,alp
6,Mountain,../Image/All_Cropped\Mountain\15.jpg,0.05130000784993172,09193705-n,alp
7,Mountain,../Image/All_Cropped\Mountain\16.jpg,0.012989216484129429,09193705-n,alp
8,Mountain,../Image/All_Cropped\Mountain\2.jpg,0.004816038534045219,09193705-n,alp
9,Mountain,../Image/All_Cropped\Mountain\3.jpg,0.00879086833447218,09193705-n,alp
10,Mountain,../Image/All_Cropped\Mountain\4.jpg,0.020968928933143616,09193705-n,alp
11,Mountain,../Image/All_Cropped\Mountain\5.jpg,0.6751518845558167,09193705-n,alp
12,Mountain,../Image/All_Cropped\Mountain\6.jpg,0.04941883683204651,09193705-n,alp
13,Mountain,../Image/All_Cropped\Mountain\7.jpg,0.06821109354496002,09193705-n,alp
14,Mountain,../Image/All_Cropped\Mountain\8.jpg,0.08694826066493988,09193705-n,alp
15,Mountain,../Image/All_Cropped\Mountain\9.jpg,0.15989060699939728,09193705-n,alp
16,Beach,../Image/All_Cropped\Beach\1.jpg,0.17681962251663208,09428293-n,"seashore, coast, seacoast, sea-coast"
17,Beach,../Image/All_Cropped\Beach\10.jpg,0.24893926084041595,09428293-n,"seashore, coast, seacoast, sea-coast"
18,Beach,../Image/All_Cropped\Beach\11.jpg,0.011109255254268646,09428293-n,"seashore, coast, seacoast, sea-coast"
19,Beach,../Image/All_Cropped\Beach\12.jpg,0.5909925699234009,09428293-n,"seashore, coast, seacoast, sea-coast"
20,Beach,../Image/All_Cropped\Beach\13.jpg,0.1350151151418686,09428293-n,"seashore, coast, seacoast, sea-coast"
21,Beach,../Image/All_Cropped\Beach\14.jpg,0.32616114616394043,09428293-n,"seashore, coast, seacoast, sea-coast"
22,Beach,../Image/All_Cropped\Beach\15.jpg,0.23409400880336761,09428293-n,"seashore, coast, seacoast, sea-coast"
23,Beach,../Image/All_Cropped\Beach\16.jpg,0.07431934028863907,09428293-n,"seashore, coast, seacoast, sea-coast"
24,Beach,../Image/All_Cropped\Beach\2.jpg,0.0071295881643891335,09428293-n,"seashore, coast, seacoast, sea-coast"
25,Beach,../Image/All_Cropped\Beach\3.jpg,0.5099999904632568,09428293-n,"seashore, coast, seacoast, sea-coast"
26,Beach,../Image/All_Cropped\Beach\4.jpg,0.7505847811698914,09428293-n,"seashore, coast, seacoast, sea-coast"
27,Beach,../Image/All_Cropped\Beach\5.jpg,0.7951226830482483,09428293-n,"seashore, coast, seacoast, sea-coast"
