,type,dir,id_labels,readable_labels,similarity_score,closest_id_label,closest_similarity_score,closest_readable_label,closest_prob
0,Mountain,../Image/All_Cropped\Mountain\1.jpg,"{'09193705-n': 0.1344020962715149, '09472597-n': 0.13413932919502258, '04310018-n': 0.07009738683700562, '02980441-n': 0.06386379152536392, '02859443-n': 0.05329560860991478, '03160309-n': 0.050588976591825485, '09468604-n': 0.04720369353890419, '04532670-n': 0.04009580612182617, '09288635-n': 0.04004811495542526, '09332890-n': 0.03626281023025513}","{'alp': 0.1344020962715149, 'volcano': 0.13413932919502258, 'steam locomotive': 0.07009738683700562, 'castle': 0.06386379152536392, 'boathouse': 0.05329560860991478, 'dam': 0.050588976591825485, 'valley': 0.04720369353890419, 'viaduct': 0.04009580612182617, 'geyser': 0.04004811495542526, 'lakeside': 0.03626281023025513}","{'09193705-n': 0.5, '09472597-n': 0.5, '04310018-n': 0.08333333333333333, '02980441-n': 0.1, '02859443-n': 0.09090909090909091, '03160309-n': 0.1, '09468604-n': 0.2, '04532670-n': 0.1111111111111111, '09288635-n': 0.2, '09332890-n': 0.2}",09193705-n,0.5,alp,0.1344020962715149
1,Mountain,../Image/All_Cropped\Mountain\10.jpg,"{'09468604-n': 0.4578712582588196, '09193705-n': 0.16818204522132874, '09472597-n': 0.05670221894979477, '09399592-n': 0.05443993955850601, '04532670-n': 0.04090114310383797, '09332890-n': 0.037258390337228775, '09246464-n': 0.020747961476445198, '09428293-n': 0.017348138615489006, '03160309-n': 0.016036467626690865, '09421951-n': 0.010361878201365471}","{'valley': 0.4578712582588196, 'alp': 0.16818204522132874, 'volcano': 0.05670221894979477, 'promontory': 0.05443993955850601, 'viaduct': 0.04090114310383797, 'lakeside': 0.037258390337228775, 'cliff': 0.020747961476445198, 'seashore': 0.017348138615489006, 'dam': 0.016036467626690865, 'sandbar': 0.010361878201365471}","{'09468604-n': 0.2, '09193705-n': 0.5, '09472597-n': 0.5, '09399592-n': 0.3333333333333333, '04532670-n': 0.1111111111111111, '09332890-n': 0.2, '09246464-n': 0.25, '09428293-n': 0.2, '03160309-n': 0.1, '09421951-n': 0.2}",09193705-n,0.5,alp,0.16818204522132874
2,Mountain,../Image/All_Cropped\Mountain\11.jpg,"{'09472597-n': 0.6781872510910034, '09193705-n': 0.11668773740530014, '09468604-n': 0.04222559928894043, '03792972-n': 0.03423476591706276, '01698640-n': 0.009746179915964603, '01796340-n': 0.009529867209494114, '03958227-n': 0.006272410042583942, '09428293-n': 0.00522178178653121, '09246464-n': 0.005141131579875946, '09399592-n': 0.004107738845050335}","{'volcano': 0.6781872510910034, 'alp': 0.11668773740530014, 'valley': 0.04222559928894043, 'mountain tent': 0.03423476591706276, 'American alligator': 0.009746179915964603, 'ptarmigan': 0.009529867209494114, 'plastic bag': 0.006272410042583942, 'seashore': 0.00522178178653121, 'cliff': 0.005141131579875946, 'promontory': 0.004107738845050335}","{'09472597-n': 0.5, '09193705-n': 0.5, '09468604-n': 0.2, '03792972-n': 0.1, '01698640-n': 0.06666666666666667, '01796340-n': 0.08333333333333333, '03958227-n': 0.1, '09428293-n': 0.2, '09246464-n': 0.25, '09399592-n': 0.3333333333333333}",09472597-n,0.5,volcano,0.6781872510910034
3,Mountain,../Image/All_Cropped\Mountain\12.jpg,"{'09193705-n': 0.5507320761680603, '09468604-n': 0.4124588370323181, '09332890-n': 0.0074310870841145515, '04258138-n': 0.006152719724923372, '09246464-n': 0.0027337672654539347, '03160309-n': 0.0023781752679497004, '02980441-n': 0.0019315768731757998, '03792972-n': 0.0013762695016339421, '04044716-n': 0.0013403090415522456, '09399592-n': 0.001153685967437923}","{'alp': 0.5507320761680603, 'valley': 0.4124588370323181, 'lakeside': 0.0074310870841145515, 'solar dish': 0.006152719724923372, 'cliff': 0.0027337672654539347, 'dam': 0.0023781752679497004, 'castle': 0.0019315768731757998, 'mountain tent': 0.0013762695016339421, 'radio telescope': 0.0013403090415522456, 'promontory': 0.001153685967437923}","{'09193705-n': 0.5, '09468604-n': 0.2, '09332890-n': 0.2, '04258138-n': 0.1, '09246464-n': 0.25, '03160309-n': 0.1, '02980441-n': 0.1, '03792972-n': 0.1, '04044716-n': 0.07142857142857142, '09399592-n': 0.3333333333333333}",09193705-n,0.5,alp,0.5507320761680603
4,Mountain,../Image/All_Cropped\Mountain\13.jpg,"{'09246464-n': 0.4606900215148926, '09399592-n': 0.3688192367553711, '02980441-n': 0.0615055225789547, '09193705-n': 0.02951357141137123, '09428293-n': 0.023284563794732094, '09468604-n': 0.016606135293841362, '03743016-n': 0.007969564758241177, '03781244-n': 0.007073772139847279, '09332890-n': 0.004862284753471613, '04311004-n': 0.0026302023325115442}","{'cliff': 0.4606900215148926, 'promontory': 0.3688192367553711, 'castle': 0.0615055225789547, 'alp': 0.02951357141137123, 'seashore': 0.023284563794732094, 'valley': 0.016606135293841362, 'megalith': 0.007969564758241177, 'monastery': 0.007073772139847279, 'lakeside': 0.004862284753471613, 'steel arch bridge': 0.0026302023325115442}","{'09246464-n': 0.25, '09399592-n': 0.3333333333333333, '02980441-n': 0.1, '09193705-n': 0.5, '09428293-n': 0.2, '09468604-n': 0.2, '03743016-n': 0.1111111111111111, '03781244-n': 0.08333333333333333, '09332890-n': 0.2, '04311004-n': 0.1111111111111111}",09193705-n,0.5,alp,0.02951357141137123
5,Mountain,../Image/All_Cropped\Mountain\14.jpg,"{'09193705-n': 0.7029640078544617, '09472597-n': 0.1239461675286293, '09468604-n': 0.10296646505594254, '09399592-n': 0.029820673167705536, '09246464-n': 0.02480493299663067, '03781244-n': 0.0033173728734254837, '03792972-n': 0.00227922759950161, '09288635-n': 0.0012364133726805449, '02980441-n': 0.000804177368991077, '09428293-n': 0.0006997830932959914}","{'alp': 0.7029640078544617, 'volcano': 0.1239461675286293, 'valley': 0.10296646505594254, 'promontory': 0.029820673167705536, 'cliff': 0.02480493299663067, 'monastery': 0.0033173728734254837, 'mountain tent': 0.00227922759950161, 'geyser': 0.0012364133726805449, 'castle': 0.000804177368991077, 'seashore': 0.0006997830932959914}","{'09193705-n': 0.5, '09472597-n': 0.5, '09468604-n': 0.2, '09399592-n': 0.3333333333333333, '09246464-n': 0.25, '03781244-n': 0.08333333333333333, '03792972-n': 0.1, '09288635-n': 0.2, '02980441-n': 0.1, '09428293-n': 0.2}",09193705-n,0.5,alp,0.7029640078544617
6,Mountain,../Image/All_Cropped\Mountain\15.jpg,"{'09288635-n': 0.20938201248645782, '02058221-n': 0.11959126591682434, '09193705-n': 0.08932073414325714, '09472597-n': 0.08628800511360168, '02417914-n': 0.05897347256541252, '09246464-n': 0.03067830391228199, '02077923-n': 0.023176485672593117, '02025239-n': 0.0214507058262825, '02051845-n': 0.01738593727350235, '09399592-n': 0.0167949628084898}","{'geyser': 0.20938201248645782, 'albatross': 0.11959126591682434, 'alp': 0.08932073414325714, 'volcano': 0.08628800511360168, 'ibex': 0.05897347256541252, 'cliff': 0.03067830391228199, 'sea lion': 0.023176485672593117, 'ruddy turnstone': 0.0214507058262825, 'pelican': 0.01738593727350235, 'promontory': 0.0167949628084898}","{'09288635-n': 0.2, '02058221-n': 0.06666666666666667, '09193705-n': 0.5, '09472597-n': 0.5, '02417914-n': 0.05263157894736842, '09246464-n': 0.25, '02077923-n': 0.058823529411764705, '02025239-n': 0.058823529411764705, '02051845-n': 0.06666666666666667, '09399592-n': 0.3333333333333333}",09193705-n,0.5,alp,0.08932073414325714
7,Mountain,../Image/All_Cropped\Mountain\16.jpg,"{'09468604-n': 0.12473472952842712, '09399592-n': 0.1244780495762825, '09332890-n': 0.10917983204126358, '03160309-n': 0.08793149888515472, '09246464-n': 0.07792244851589203, '09428293-n': 0.06216644495725632, '04044716-n': 0.045073073357343674, '09193705-n': 0.03909609466791153, '09288635-n': 0.03034323640167713, '02894605-n': 0.02918936312198639}","{'valley': 0.12473472952842712, 'promontory': 0.1244780495762825, 'lakeside': 0.10917983204126358, 'dam': 0.08793149888515472, 'cliff': 0.07792244851589203, 'seashore': 0.06216644495725632, 'radio telescope': 0.045073073357343674, 'alp': 0.03909609466791153, 'geyser': 0.03034323640167713, 'breakwater': 0.02918936312198639}","{'09468604-n': 0.2, '09399592-n': 0.3333333333333333, '09332890-n': 0.2, '03160309-n': 0.1, '09246464-n': 0.25, '09428293-n': 0.2, '04044716-n': 0.07142857142857142, '09193705-n': 0.5, '09288635-n': 0.2, '02894605-n': 0.1}",09193705-n,0.5,alp,0.03909609466791153
8,Mountain,../Image/All_Cropped\Mountain\2.jpg,"{'09421951-n': 0.42121952772140503, '09472597-n': 0.1945880949497223, '09399592-n': 0.07940994948148727, '09428293-n': 0.06781522929668427, '01664065-n': 0.03549925982952118, '09332890-n': 0.030380431562662125, '04606251-n': 0.015946604311466217, '01491361-n': 0.015613619238138199, '02514041-n': 0.01434255950152874, '09468604-n': 0.011463548056781292}","{'sandbar': 0.42121952772140503, 'volcano': 0.1945880949497223, 'promontory': 0.07940994948148727, 'seashore': 0.06781522929668427, 'loggerhead': 0.03549925982952118, 'lakeside': 0.030380431562662125, 'wreck': 0.015946604311466217, 'tiger shark': 0.015613619238138199, 'barracouta': 0.01434255950152874, 'valley': 0.011463548056781292}","{'09421951-n': 0.2, '09472597-n': 0.5, '09399592-n': 0.3333333333333333, '09428293-n': 0.2, '01664065-n': 0.0625, '09332890-n': 0.2, '04606251-n': 0.07692307692307693, '01491361-n': 0.058823529411764705, '02514041-n': 0.07142857142857142, '09468604-n': 0.2}",09472597-n,0.5,volcano,0.1945880949497223
9,Mountain,../Image/All_Cropped\Mountain\3.jpg,"{'09288635-n': 0.7891390323638916, '04604644-n': 0.01743742823600769, '04389033-n': 0.017078937962651253, '09193705-n': 0.016429167240858078, '09332890-n': 0.012506293132901192, '04252077-n': 0.011853453703224659, '03160309-n': 0.010632524266839027, '09468604-n': 0.0103612020611763, '03388043-n': 0.007407013792544603, '03218198-n': 0.006846805568784475}","{'geyser': 0.7891390323638916, 'worm fence': 0.01743742823600769, 'tank': 0.017078937962651253, 'alp': 0.016429167240858078, 'lakeside': 0.012506293132901192, 'snowmobile': 0.011853453703224659, 'dam': 0.010632524266839027, 'valley': 0.0103612020611763, 'fountain': 0.007407013792544603, 'dogsled': 0.006846805568784475}","{'09288635-n': 0.2, '04604644-n': 0.08333333333333333, '04389033-n': 0.09090909090909091, '09193705-n': 0.5, '09332890-n': 0.2, '04252077-n': 0.08333333333333333, '03160309-n': 0.1, '09468604-n': 0.2, '03388043-n': 0.125, '03218198-n': 0.09090909090909091}",09193705-n,0.5,alp,0.016429167240858078
