,type,typicality_score,dir,top5_labels,label,7_score
0,Mountain,33.6,Image/All_Cropped\Mountain\1.jpg,"{'alp': 0.33624741435050964, 'lakeside': 0.06691604107618332, 'valley': 0.06232248991727829, 'volcano': 0.061554186046123505, 'castle': 0.03213281184434891}",alp,2.4
1,Mountain,47.3,Image/All_Cropped\Mountain\10.jpg,"{'valley': 0.47269776463508606, 'alp': 0.16870351135730743, 'volcano': 0.051179464906454086, 'lakeside': 0.03503592684864998, 'promontory': 0.02987917885184288}",valley,3.3
2,Mountain,86.3,Image/All_Cropped\Mountain\11.jpg,"{'volcano': 0.8628526926040649, 'alp': 0.07861088216304779, 'valley': 0.030122660100460052, 'American alligator': 0.0047424547374248505, 'mountain tent': 0.003862211015075445}",volcano,6.0
3,Mountain,50.5,Image/All_Cropped\Mountain\12.jpg,"{'alp': 0.5045263767242432, 'valley': 0.4450574517250061, 'mountain tent': 0.0063147046603262424, 'cliff': 0.0053255027160048485, 'volcano': 0.004705596249550581}",alp,3.5
4,Mountain,67.4,Image/All_Cropped\Mountain\13.jpg,"{'cliff': 0.6740588545799255, 'promontory': 0.2579506039619446, 'castle': 0.029966499656438828, 'seashore': 0.007886974141001701, 'valley': 0.0063275787979364395}",cliff,4.7
5,Mountain,56.6,Image/All_Cropped\Mountain\14.jpg,"{'alp': 0.5662789940834045, 'valley': 0.25585874915122986, 'volcano': 0.10866440087556839, 'cliff': 0.038327883929014206, 'promontory': 0.01816532388329506}",alp,4.0
6,Mountain,15.2,Image/All_Cropped\Mountain\15.jpg,"{'sea lion': 0.15238767862319946, 'volcano': 0.11908973008394241, 'alp': 0.07436145097017288, 'albatross': 0.068771131336689, 'cliff': 0.04585699364542961}",sea lion,1.1
7,Mountain,13.3,Image/All_Cropped\Mountain\16.jpg,"{'valley': 0.13323189318180084, 'geyser': 0.1094476580619812, 'seashore': 0.07958690077066422, 'cliff': 0.07947859168052673, 'lakeside': 0.07214722782373428}",valley,0.9
8,Mountain,34.1,Image/All_Cropped\Mountain\2.jpg,"{'sandbar': 0.34101414680480957, 'volcano': 0.20860694348812103, 'seashore': 0.09374652802944183, 'loggerhead': 0.05823208764195442, 'promontory': 0.04619792476296425}",sandbar,2.4
9,Mountain,62.9,Image/All_Cropped\Mountain\3.jpg,"{'geyser': 0.6292542815208435, 'snowmobile': 0.029626740142703056, 'alp': 0.02115454524755478, 'dogsled': 0.01914966106414795, 'lakeside': 0.018335925415158272}",geyser,4.4
10,Mountain,25.2,Image/All_Cropped\Mountain\4.jpg,"{'promontory': 0.2523660659790039, 'volcano': 0.2291516810655594, 'valley': 0.10970988869667053, 'mountain tent': 0.08454832434654236, 'lakeside': 0.060634661465883255}",promontory,1.8
11,Mountain,70.9,Image/All_Cropped\Mountain\5.jpg,"{'alp': 0.7093371152877808, 'valley': 0.129292294383049, 'mountain tent': 0.08013270050287247, 'dam': 0.018078265711665154, 'cliff': 0.011142466217279434}",alp,5.0
12,Mountain,43.9,Image/All_Cropped\Mountain\6.jpg,"{'valley': 0.4386121332645416, 'alp': 0.041745588183403015, 'cliff': 0.03989322856068611, 'volcano': 0.032240696251392365, 'promontory': 0.028448112308979034}",valley,3.1
13,Mountain,61.6,Image/All_Cropped\Mountain\7.jpg,"{'cliff': 0.616345226764679, 'alp': 0.05267646163702011, 'valley': 0.04892541468143463, 'volcano': 0.03278234973549843, 'cliff dwelling': 0.030575018376111984}",cliff,4.3
14,Mountain,35.4,Image/All_Cropped\Mountain\8.jpg,"{'valley': 0.3544585108757019, 'promontory': 0.09760119765996933, 'lakeside': 0.06510483473539352, 'alp': 0.0630311593413353, 'volcano': 0.06102108955383301}",valley,2.5
15,Mountain,31.2,Image/All_Cropped\Mountain\9.jpg,"{'valley': 0.31168052554130554, 'volcano': 0.21882228553295135, 'alp': 0.1971970796585083, 'mountain tent': 0.10154930502176285, 'lakeside': 0.02479175478219986}",valley,2.2
16,Beach,41.0,Image/All_Cropped\Beach\1.jpg,"{'promontory': 0.4097212255001068, 'seashore': 0.37889620661735535, 'beacon': 0.04722975566983223, 'geyser': 0.02910812385380268, 'cliff': 0.024237647652626038}",promontory,2.9
17,Beach,27.0,Image/All_Cropped\Beach\10.jpg,"{'seashore': 0.2697846591472626, 'sandbar': 0.2567303478717804, 'geyser': 0.06047213450074196, 'breakwater': 0.05019334331154823, 'lakeside': 0.0486210398375988}",seashore,1.9
18,Beach,43.9,Image/All_Cropped\Beach\11.jpg,"{'space shuttle': 0.43905019760131836, 'missile': 0.07416748255491257, 'projectile': 0.06799853593111038, 'geyser': 0.06294393539428711, 'breakwater': 0.054823022335767746}",space shuttle,3.1
19,Beach,70.1,Image/All_Cropped\Beach\12.jpg,"{'seashore': 0.7007083296775818, 'promontory': 0.20844636857509613, 'lakeside': 0.02001463808119297, 'breakwater': 0.019484270364046097, 'cliff': 0.010138031095266342}",seashore,4.9
20,Beach,22.6,Image/All_Cropped\Beach\13.jpg,"{'seashore': 0.22560369968414307, 'sandbar': 0.09811485558748245, 'promontory': 0.05037076026201248, 'lakeside': 0.042534224689006805, 'breakwater': 0.03834395855665207}",seashore,1.6
21,Beach,46.9,Image/All_Cropped\Beach\14.jpg,"{'seashore': 0.4688839614391327, 'wreck': 0.0742306113243103, 'sandbar': 0.060553424060344696, 'promontory': 0.03487430140376091, 'leatherback turtle': 0.031185252591967583}",seashore,3.3
22,Beach,58.3,Image/All_Cropped\Beach\15.jpg,"{'promontory': 0.5825338363647461, 'seashore': 0.28885021805763245, 'cliff': 0.09147965162992477, 'lakeside': 0.009769785217940807, 'beacon': 0.009533888660371304}",promontory,4.1
23,Beach,41.9,Image/All_Cropped\Beach\16.jpg,"{'great white shark': 0.4190705120563507, 'promontory': 0.22846761345863342, 'grey whale': 0.10126372426748276, 'seashore': 0.05888397991657257, 'otter': 0.017918448895215988}",great white shark,2.9
