,id,label,uri
0,01440764-n,"tench, Tinca tinca",http://wordnet-rdf.princeton.edu/wn30/01440764-n
1,01443537-n,"goldfish, Carassius auratus",http://wordnet-rdf.princeton.edu/wn30/01443537-n
2,01484850-n,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",http://wordnet-rdf.princeton.edu/wn30/01484850-n
3,01491361-n,"tiger shark, Galeocerdo cuvieri",http://wordnet-rdf.princeton.edu/wn30/01491361-n
4,01494475-n,"hammerhead, hammerhead shark",http://wordnet-rdf.princeton.edu/wn30/01494475-n
5,01496331-n,"electric ray, crampfish, numbfish, torpedo",http://wordnet-rdf.princeton.edu/wn30/01496331-n
6,01498041-n,stingray,http://wordnet-rdf.princeton.edu/wn30/01498041-n
7,01514668-n,cock,http://wordnet-rdf.princeton.edu/wn30/01514668-n
8,01514859-n,hen,http://wordnet-rdf.princeton.edu/wn30/01514859-n
9,01518878-n,"ostrich, Struthio camelus",http://wordnet-rdf.princeton.edu/wn30/01518878-n
10,01530575-n,"brambling, Fringilla montifringilla",http://wordnet-rdf.princeton.edu/wn30/01530575-n
11,01531178-n,"goldfinch, Carduelis carduelis",http://wordnet-rdf.princeton.edu/wn30/01531178-n
12,01532829-n,"house finch, linnet, Carpodacus mexicanus",http://wordnet-rdf.princeton.edu/wn30/01532829-n
13,01534433-n,"junco, snowbird",http://wordnet-rdf.princeton.edu/wn30/01534433-n
14,01537544-n,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",http://wordnet-rdf.princeton.edu/wn30/01537544-n
15,01558993-n,"robin, American robin, Turdus migratorius",http://wordnet-rdf.princeton.edu/wn30/01558993-n
16,01560419-n,bulbul,http://wordnet-rdf.princeton.edu/wn30/01560419-n
17,01580077-n,jay,http://wordnet-rdf.princeton.edu/wn30/01580077-n
18,01582220-n,magpie,http://wordnet-rdf.princeton.edu/wn30/01582220-n
19,01592084-n,chickadee,http://wordnet-rdf.princeton.edu/wn30/01592084-n
20,01601694-n,"water ouzel, dipper",http://wordnet-rdf.princeton.edu/wn30/01601694-n
21,01608432-n,kite,http://wordnet-rdf.princeton.edu/wn30/01608432-n
22,01614925-n,"bald eagle, American eagle, Haliaeetus leucocephalus",http://wordnet-rdf.princeton.edu/wn30/01614925-n
23,01616318-n,vulture,http://wordnet-rdf.princeton.edu/wn30/01616318-n
24,01622779-n,"great grey owl, great gray owl, Strix nebulosa",http://wordnet-rdf.princeton.edu/wn30/01622779-n
25,01629819-n,"European fire salamander, Salamandra salamandra",http://wordnet-rdf.princeton.edu/wn30/01629819-n
26,01630670-n,"common newt, Triturus vulgaris",http://wordnet-rdf.princeton.edu/wn30/01630670-n
27,01631663-n,eft,http://wordnet-rdf.princeton.edu/wn30/01631663-n
28,01632458-n,"spotted salamander, Ambystoma maculatum",http://wordnet-rdf.princeton.edu/wn30/01632458-n
29,01632777-n,"axolotl, mud puppy, Ambystoma mexicanum",http://wordnet-rdf.princeton.edu/wn30/01632777-n
30,01641577-n,"bullfrog, Rana catesbeiana",http://wordnet-rdf.princeton.edu/wn30/01641577-n
31,01644373-n,"tree frog, tree-frog",http://wordnet-rdf.princeton.edu/wn30/01644373-n
32,01644900-n,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",http://wordnet-rdf.princeton.edu/wn30/01644900-n
33,01664065-n,"loggerhead, loggerhead turtle, Caretta caretta",http://wordnet-rdf.princeton.edu/wn30/01664065-n
34,01665541-n,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",http://wordnet-rdf.princeton.edu/wn30/01665541-n
35,01667114-n,mud turtle,http://wordnet-rdf.princeton.edu/wn30/01667114-n
36,01667778-n,terrapin,http://wordnet-rdf.princeton.edu/wn30/01667778-n
37,01669191-n,"box turtle, box tortoise",http://wordnet-rdf.princeton.edu/wn30/01669191-n
38,01675722-n,banded gecko,http://wordnet-rdf.princeton.edu/wn30/01675722-n
39,01677366-n,"common iguana, iguana, Iguana iguana",http://wordnet-rdf.princeton.edu/wn30/01677366-n
40,01682714-n,"American chameleon, anole, Anolis carolinensis",http://wordnet-rdf.princeton.edu/wn30/01682714-n
41,01685808-n,"whiptail, whiptail lizard",http://wordnet-rdf.princeton.edu/wn30/01685808-n
42,01687978-n,agama,http://wordnet-rdf.princeton.edu/wn30/01687978-n
43,01688243-n,"frilled lizard, Chlamydosaurus kingi",http://wordnet-rdf.princeton.edu/wn30/01688243-n
44,01689811-n,alligator lizard,http://wordnet-rdf.princeton.edu/wn30/01689811-n
45,01692333-n,"Gila monster, Heloderma suspectum",http://wordnet-rdf.princeton.edu/wn30/01692333-n
46,01693334-n,"green lizard, Lacerta viridis",http://wordnet-rdf.princeton.edu/wn30/01693334-n
47,01694178-n,"African chameleon, Chamaeleo chamaeleon",http://wordnet-rdf.princeton.edu/wn30/01694178-n
48,01695060-n,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",http://wordnet-rdf.princeton.edu/wn30/01695060-n
49,01697457-n,"African crocodile, Nile crocodile, Crocodylus niloticus",http://wordnet-rdf.princeton.edu/wn30/01697457-n
50,01698640-n,"American alligator, Alligator mississipiensis",http://wordnet-rdf.princeton.edu/wn30/01698640-n
51,01704323-n,triceratops,http://wordnet-rdf.princeton.edu/wn30/01704323-n
52,01728572-n,"thunder snake, worm snake, Carphophis amoenus",http://wordnet-rdf.princeton.edu/wn30/01728572-n
53,01728920-n,"ringneck snake, ring-necked snake, ring snake",http://wordnet-rdf.princeton.edu/wn30/01728920-n
54,01729322-n,"hognose snake, puff adder, sand viper",http://wordnet-rdf.princeton.edu/wn30/01729322-n
55,01729977-n,"green snake, grass snake",http://wordnet-rdf.princeton.edu/wn30/01729977-n
56,01734418-n,"king snake, kingsnake",http://wordnet-rdf.princeton.edu/wn30/01734418-n
57,01735189-n,"garter snake, grass snake",http://wordnet-rdf.princeton.edu/wn30/01735189-n
58,01737021-n,water snake,http://wordnet-rdf.princeton.edu/wn30/01737021-n
59,01739381-n,vine snake,http://wordnet-rdf.princeton.edu/wn30/01739381-n
60,01740131-n,"night snake, Hypsiglena torquata",http://wordnet-rdf.princeton.edu/wn30/01740131-n
61,01742172-n,"boa constrictor, Constrictor constrictor",http://wordnet-rdf.princeton.edu/wn30/01742172-n
62,01744401-n,"rock python, rock snake, Python sebae",http://wordnet-rdf.princeton.edu/wn30/01744401-n
63,01748264-n,"Indian cobra, Naja naja",http://wordnet-rdf.princeton.edu/wn30/01748264-n
64,01749939-n,green mamba,http://wordnet-rdf.princeton.edu/wn30/01749939-n
65,01751748-n,sea snake,http://wordnet-rdf.princeton.edu/wn30/01751748-n
66,01753488-n,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",http://wordnet-rdf.princeton.edu/wn30/01753488-n
67,01755581-n,"diamondback, diamondback rattlesnake, Crotalus adamanteus",http://wordnet-rdf.princeton.edu/wn30/01755581-n
68,01756291-n,"sidewinder, horned rattlesnake, Crotalus cerastes",http://wordnet-rdf.princeton.edu/wn30/01756291-n
69,01768244-n,trilobite,http://wordnet-rdf.princeton.edu/wn30/01768244-n
70,01770081-n,"harvestman, daddy longlegs, Phalangium opilio",http://wordnet-rdf.princeton.edu/wn30/01770081-n
71,01770393-n,scorpion,http://wordnet-rdf.princeton.edu/wn30/01770393-n
72,01773157-n,"black and gold garden spider, Argiope aurantia",http://wordnet-rdf.princeton.edu/wn30/01773157-n
73,01773549-n,"barn spider, Araneus cavaticus",http://wordnet-rdf.princeton.edu/wn30/01773549-n
74,01773797-n,"garden spider, Aranea diademata",http://wordnet-rdf.princeton.edu/wn30/01773797-n
75,01774384-n,"black widow, Latrodectus mactans",http://wordnet-rdf.princeton.edu/wn30/01774384-n
76,01774750-n,tarantula,http://wordnet-rdf.princeton.edu/wn30/01774750-n
77,01775062-n,"wolf spider, hunting spider",http://wordnet-rdf.princeton.edu/wn30/01775062-n
78,01776313-n,tick,http://wordnet-rdf.princeton.edu/wn30/01776313-n
79,01784675-n,centipede,http://wordnet-rdf.princeton.edu/wn30/01784675-n
80,01795545-n,black grouse,http://wordnet-rdf.princeton.edu/wn30/01795545-n
81,01796340-n,ptarmigan,http://wordnet-rdf.princeton.edu/wn30/01796340-n
82,01797886-n,"ruffed grouse, partridge, Bonasa umbellus",http://wordnet-rdf.princeton.edu/wn30/01797886-n
83,01798484-n,"prairie chicken, prairie grouse, prairie fowl",http://wordnet-rdf.princeton.edu/wn30/01798484-n
84,01806143-n,peacock,http://wordnet-rdf.princeton.edu/wn30/01806143-n
85,01806567-n,quail,http://wordnet-rdf.princeton.edu/wn30/01806567-n
86,01807496-n,partridge,http://wordnet-rdf.princeton.edu/wn30/01807496-n
87,01817953-n,"African grey, African gray, Psittacus erithacus",http://wordnet-rdf.princeton.edu/wn30/01817953-n
88,01818515-n,macaw,http://wordnet-rdf.princeton.edu/wn30/01818515-n
89,01819313-n,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",http://wordnet-rdf.princeton.edu/wn30/01819313-n
90,01820546-n,lorikeet,http://wordnet-rdf.princeton.edu/wn30/01820546-n
91,01824575-n,coucal,http://wordnet-rdf.princeton.edu/wn30/01824575-n
92,01828970-n,bee eater,http://wordnet-rdf.princeton.edu/wn30/01828970-n
93,01829413-n,hornbill,http://wordnet-rdf.princeton.edu/wn30/01829413-n
94,01833805-n,hummingbird,http://wordnet-rdf.princeton.edu/wn30/01833805-n
95,01843065-n,jacamar,http://wordnet-rdf.princeton.edu/wn30/01843065-n
96,01843383-n,toucan,http://wordnet-rdf.princeton.edu/wn30/01843383-n
97,01847000-n,drake,http://wordnet-rdf.princeton.edu/wn30/01847000-n
98,01855032-n,"red-breasted merganser, Mergus serrator",http://wordnet-rdf.princeton.edu/wn30/01855032-n
99,01855672-n,goose,http://wordnet-rdf.princeton.edu/wn30/01855672-n
100,01860187-n,"black swan, Cygnus atratus",http://wordnet-rdf.princeton.edu/wn30/01860187-n
101,01871265-n,tusker,http://wordnet-rdf.princeton.edu/wn30/01871265-n
102,01872401-n,"echidna, spiny anteater, anteater",http://wordnet-rdf.princeton.edu/wn30/01872401-n
103,01873310-n,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",http://wordnet-rdf.princeton.edu/wn30/01873310-n
104,01877812-n,"wallaby, brush kangaroo",http://wordnet-rdf.princeton.edu/wn30/01877812-n
105,01882714-n,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",http://wordnet-rdf.princeton.edu/wn30/01882714-n
106,01883070-n,wombat,http://wordnet-rdf.princeton.edu/wn30/01883070-n
107,01910747-n,jellyfish,http://wordnet-rdf.princeton.edu/wn30/01910747-n
108,01914609-n,"sea anemone, anemone",http://wordnet-rdf.princeton.edu/wn30/01914609-n
109,01917289-n,brain coral,http://wordnet-rdf.princeton.edu/wn30/01917289-n
110,01924916-n,"flatworm, platyhelminth",http://wordnet-rdf.princeton.edu/wn30/01924916-n
111,01930112-n,"nematode, nematode worm, roundworm",http://wordnet-rdf.princeton.edu/wn30/01930112-n
112,01943899-n,conch,http://wordnet-rdf.princeton.edu/wn30/01943899-n
113,01944390-n,snail,http://wordnet-rdf.princeton.edu/wn30/01944390-n
114,01945685-n,slug,http://wordnet-rdf.princeton.edu/wn30/01945685-n
115,01950731-n,"sea slug, nudibranch",http://wordnet-rdf.princeton.edu/wn30/01950731-n
116,01955084-n,"chiton, coat-of-mail shell, sea cradle, polyplacophore",http://wordnet-rdf.princeton.edu/wn30/01955084-n
117,01968897-n,"chambered nautilus, pearly nautilus, nautilus",http://wordnet-rdf.princeton.edu/wn30/01968897-n
118,01978287-n,"Dungeness crab, Cancer magister",http://wordnet-rdf.princeton.edu/wn30/01978287-n
119,01978455-n,"rock crab, Cancer irroratus",http://wordnet-rdf.princeton.edu/wn30/01978455-n
120,01980166-n,fiddler crab,http://wordnet-rdf.princeton.edu/wn30/01980166-n
121,01981276-n,"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",http://wordnet-rdf.princeton.edu/wn30/01981276-n
122,01983481-n,"American lobster, Northern lobster, Maine lobster, Homarus americanus",http://wordnet-rdf.princeton.edu/wn30/01983481-n
123,01984695-n,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",http://wordnet-rdf.princeton.edu/wn30/01984695-n
