,type,typicality_score,dir,top5_labels,label,7_score
0,Mountain,33.9,Image/All_Cropped\Mountain\1.jpg,"{'lakeside': 0.33909276127815247, 'valley': 0.10373581200838089, 'dam': 0.06044419854879379, 'volcano': 0.05389164388179779, 'boathouse': 0.043561410158872604}",lakeside,2.4
1,Mountain,38.0,Image/All_Cropped\Mountain\10.jpg,"{'valley': 0.38023269176483154, 'alp': 0.21241448819637299, 'lakeside': 0.11521987617015839, 'promontory': 0.03946885094046593, 'volcano': 0.023053107783198357}",valley,2.7
2,Mountain,69.5,Image/All_Cropped\Mountain\11.jpg,"{'alp': 0.6954638361930847, 'volcano': 0.18501830101013184, 'valley': 0.052408646792173386, 'mountain tent': 0.01283350307494402, 'grey whale': 0.006349649745970964}",alp,4.9
3,Mountain,59.0,Image/All_Cropped\Mountain\12.jpg,"{'alp': 0.5897970795631409, 'valley': 0.3358953893184662, 'cliff': 0.014181159436702728, 'promontory': 0.011644307523965836, 'seashore': 0.00780043751001358}",alp,4.1
4,Mountain,49.9,Image/All_Cropped\Mountain\13.jpg,"{'cliff': 0.49911436438560486, 'promontory': 0.11322486400604248, 'valley': 0.10757622867822647, 'alp': 0.08803190290927887, 'castle': 0.07880734652280807}",cliff,3.5
5,Mountain,49.9,Image/All_Cropped\Mountain\14.jpg,"{'alp': 0.4989626407623291, 'valley': 0.2561875879764557, 'promontory': 0.0667557492852211, 'cliff': 0.053891200572252274, 'volcano': 0.031230077147483826}",alp,3.5
6,Mountain,38.5,Image/All_Cropped\Mountain\15.jpg,"{'alp': 0.3847689628601074, 'volcano': 0.27716249227523804, 'valley': 0.12542054057121277, 'cliff': 0.044378653168678284, 'geyser': 0.026635218411684036}",alp,2.7
7,Mountain,18.4,Image/All_Cropped\Mountain\16.jpg,"{'lakeside': 0.18350620567798615, 'valley': 0.17457278072834015, 'alp': 0.08504347503185272, 'seashore': 0.05203704908490181, 'sandbar': 0.04461323469877243}",lakeside,1.3
8,Mountain,65.6,Image/All_Cropped\Mountain\2.jpg,"{'volcano': 0.6563867330551147, 'promontory': 0.15247373282909393, 'seashore': 0.06653351336717606, 'sandbar': 0.039039209485054016, 'valley': 0.017015798017382622}",volcano,4.6
9,Mountain,22.7,Image/All_Cropped\Mountain\3.jpg,"{'geyser': 0.22686250507831573, 'alp': 0.19879299402236938, 'valley': 0.09770018607378006, 'lakeside': 0.08214409649372101, 'dogsled': 0.03615878149867058}",geyser,1.6
10,Mountain,39.5,Image/All_Cropped\Mountain\4.jpg,"{'valley': 0.39470648765563965, 'volcano': 0.36973029375076294, 'alp': 0.07367131859064102, 'promontory': 0.04330327361822128, 'lakeside': 0.0308154858648777}",valley,2.8
11,Mountain,88.2,Image/All_Cropped\Mountain\5.jpg,"{'alp': 0.8824065923690796, 'valley': 0.05916859954595566, 'steel arch bridge': 0.013412700034677982, 'radio telescope': 0.010706505738198757, 'solar dish': 0.00814018864184618}",alp,6.2
12,Mountain,38.2,Image/All_Cropped\Mountain\6.jpg,"{'valley': 0.38196438550949097, 'volcano': 0.13151513040065765, 'alp': 0.10065200924873352, 'cliff': 0.05848590284585953, 'promontory': 0.05448346585035324}",valley,2.7
13,Mountain,32.3,Image/All_Cropped\Mountain\7.jpg,"{'cliff': 0.3230268955230713, 'volcano': 0.1760818362236023, 'promontory': 0.16029773652553558, 'alp': 0.1089213415980339, 'seashore': 0.04295510798692703}",cliff,2.3
14,Mountain,39.6,Image/All_Cropped\Mountain\8.jpg,"{'valley': 0.3959300220012665, 'alp': 0.15335316956043243, 'promontory': 0.07001027464866638, 'mountain tent': 0.04946289584040642, 'volcano': 0.040244199335575104}",valley,2.8
15,Mountain,33.3,Image/All_Cropped\Mountain\9.jpg,"{'alp': 0.3333219289779663, 'volcano': 0.2722671926021576, 'valley': 0.2028130292892456, 'promontory': 0.03864006698131561, 'lakeside': 0.030348002910614014}",alp,2.3
